fovar_ratio snr
0.029076186970923814 -5
0.025027603974972397 -5
0.02834008097165992 -5
0.025027603974972397 -5
0.021347073978652927 -5
0.027603974972396025 -5
0.027235921972764077 -5
0.022819285977180713 -5
0.029076186970923814 -5
0.03459698196540302 -5
0.013617960986382039 -10
0.011409642988590356 -10
0.015090172984909826 -10
0.009569377990430622 -10
0.013249907986750091 -10
0.015458225984541774 -10
0.013617960986382039 -10
0.01582627898417372 -10
0.012881854987118146 -10
0.009937430990062569 -10
0.008833271991166729 -15
0.012513801987486198 -15
0.010673536989326464 -15
0.009569377990430622 -15
0.010305483989694516 -15
0.010673536989326464 -15
0.00736105999263894 -15
0.010673536989326464 -15
0.012881854987118146 -15
0.00736105999263894 -15
0.011777695988222304 -20
0.006624953993375046 -20
0.009201324990798674 -20
0.013986013986013986 -20
0.011777695988222304 -20
0.00736105999263894 -20
0.010673536989326464 -20
0.01104158998895841 -20
0.009937430990062569 -20
0.008465218991534781 -20
0.01104158998895841 -25
0.012881854987118146 -25
0.009201324990798674 -25
0.009937430990062569 -25
0.009937430990062569 -25
0.009937430990062569 -25
0.009569377990430622 -25
0.009569377990430622 -25
0.009201324990798674 -25
0.01104158998895841 -25
0.008833271991166729 -30
0.008465218991534781 -30
0.009569377990430622 -30
0.010305483989694516 -30
0.010673536989326464 -30
0.010305483989694516 -30
0.011777695988222304 -30
0.008833271991166729 -30
0.009569377990430622 -30
0.012145748987854251 -30
