total_ratio snr
0.0264822316699529 -5
0.02409042822783901 -5
0.025379154782044586 -5
0.022069112535078997 -5
0.02151513934140291 -5
0.027032417475172654 -5
0.024275807366389388 -5
0.022986269228943167 -5
0.026665987642021993 -5
0.02869136125098523 -5
0.013607951459747431 -10
0.012503792460851591 -10
0.014160301486942233 -10
0.00882732038073534 -10
0.012137633155447813 -10
0.015814375763310948 -10
0.012137903683194694 -10
0.013977086570366904 -10
0.011218582767355472 -10
0.010848906601242237 -10
0.00974555918558704 -15
0.010667044323401313 -15
0.010481935712597815 -15
0.01048112412935717 -15
0.011584201017265486 -15
0.009930667796390538 -15
0.010295744990806792 -15
0.010849447656735999 -15
0.013239898460115486 -15
0.008641941242184962 -15
0.011769039100322103 -20
0.007906376298414829 -20
0.009929585685403013 -20
0.011954418238872484 -20
0.011401527156183918 -20
0.008825697214254052 -20
0.009195643908114169 -20
0.011217230128621063 -20
0.010113882712965868 -20
0.009377776713701973 -20
0.011584742072759249 -25
0.011402338739424565 -25
0.009562073741264828 -25
0.01029763868503496 -25
0.010113882712965868 -25
0.010665150629173144 -25
0.009011076352804431 -25
0.010113612185218987 -25
0.009929585685403013 -25
0.009930938324137419 -25
0.009378047241448854 -30
0.009377776713701973 -30
0.01048112412935717 -30
0.010297909212781842 -30
0.010298179740528723 -30
0.010297909212781842 -30
0.011034015212045735 -30
0.009561803213517947 -30
0.009929856213149894 -30
0.011034285739792617 -30
