total_ratio snr
0.08017955467616003 -5
0.0794469655376056 -5
0.07337409104367847 -5
0.07723702437333262 -5
0.07705435051225105 -5
0.0853290503380447 -5
0.07778477542883044 -5
0.07226884993379509 -5
0.07116766674011495 -5
0.07613935804036193 -5
0.055351938338069596 -10
0.057006824197678954 -10
0.05627207083714947 -10
0.05939943922303349 -10
0.057927227224505703 -10
0.06050062241671364 -10
0.057190039114254285 -10
0.058844113390622996 -10
0.054984696921678296 -10
0.05884952394556062 -10
0.0494666072046679 -15
0.04965117475997764 -15
0.0498368244262749 -15
0.052409137507495304 -15
0.050752087425910905 -15
0.04946498403818661 -15
0.05075046425942961 -15
0.047993042567405705 -15
0.050571577786804385 -15
0.05222375836894493 -15
0.054066458116826595 -20
0.05148954606390921 -20
0.046154941791221024 -20
0.05038701023149465 -20
0.04964955159349635 -20
0.05259262295181752 -20
0.05075262848140467 -20
0.05185759906354115 -20
0.05148954606390921 -20
0.04928285123259881 -20
0.052594246118298806 -25
0.0496517158154714 -25
0.05093963078643633 -25
0.05369678195071336 -25
0.048915339288460626 -25
0.05112257517526478 -25
0.04983411914880609 -25
0.05149035764714985 -25
0.051121493064277254 -25
0.05130687220282763 -25
0.05038728075924154 -30
0.047443127289932836 -30
0.04910044789926413 -30
0.04909828367728908 -30
0.04799412467839323 -30
0.048361636622531415 -30
0.05112230464751791 -30
0.04872860751117584 -30
0.05148954606390921 -30
0.050200278454209865 -30
