total_ratio snr
0.11511970108848191 -5
0.11494243778233798 -5
0.11622845905907472 -5
0.1009621048790085 -5
0.10997696862026926 -5
0.10500608890326293 -5
0.10335336726562862 -5
0.09930613690841161 -5
0.11457249108847786 -5
0.106479924068272 -5
0.07355189540531618 -10
0.07687059454018197 -10
0.06785951818737752 -10
0.07631445712453082 -10
0.07079934321273612 -10
0.07153328499002497 -10
0.06988218651887196 -10
0.07043426601831987 -10
0.06785356657694613 -10
0.07190052640641628 -10
0.05497982742223444 -15
0.054616102866552586 -15
0.05572242608742348 -15
0.05498036847772819 -15
0.060499540305726116 -15
0.05921216639025494 -15
0.05222186467471676 -15
0.05884600708485116 -15
0.05424886145016128 -15
0.05609345489227112 -15
0.05369840511719465 -20
0.049097472094048425 -20
0.05240859645200155 -20
0.05847606039099105 -20
0.053327376312347005 -20
0.051123386758505425 -20
0.049835742315287375 -20
0.049098013149542194 -20
0.05517034658797555 -20
0.050202172148438036 -20
0.049281228066117524 -25
0.05240940803524219 -25
0.050570766203563745 -25
0.054620160782755806 -25
0.05093638445347376 -25
0.04983493073204673 -25
0.04946687773241479 -25
0.05130633114733388 -25
0.050384846009519604 -25
0.04689104779048492 -25
0.052227004701907505 -30
0.05185922223002244 -30
0.04873185384413842 -30
0.04891479823296686 -30
0.04872968962216336 -30
0.048361636622531415 -30
0.0502027132039318 -30
0.04652191267986545 -30
0.049281228066117524 -30
0.04872968962216336 -30
