total_ratio snr
0.08091782489739897 -5
0.0785214224835881 -5
0.07962422884374953 -5
0.080184153647857 -5
0.07705191576252912 -5
0.0823878726739517 -5
0.07300522646080587 -5
0.07779126809475559 -5
0.0785227751223225 -5
0.07577076398523622 -5
0.05682387980885051 -10
0.05792533353027753 -10
0.05958752363905268 -10
0.05130876589705581 -10
0.054250755144389456 -10
0.062341969525860894 -10
0.05921514219547064 -10
0.056270988726161944 -10
0.05663985330903453 -10
0.05259262295181752 -10
0.05259262295181752 -15
0.052227004701907505 -15
0.05020460689815996 -15
0.0531452435067592 -15
0.05112203411977102 -15
0.04707047531860391 -15
0.058667661667719695 -15
0.04522966926495041 -15
0.04707588587354153 -15
0.05222186467471676 -15
0.04873131278864465 -20
0.05314659614549361 -20
0.052224299424438694 -20
0.05148575867545287 -20
0.049465254565933495 -20
0.05056779039834805 -20
0.050021121453837754 -20
0.047073992179313365 -20
0.05001814564862206 -20
0.05609426647551176 -20
0.055538399587607507 -25
0.05682550297533179 -25
0.041187849462671025 -25
0.05296284017342452 -25
0.04615250704149909 -25
0.05387972633954181 -25
0.04597010370816441 -25
0.045233186125659866 -25
0.04873158331639153 -25
0.0465211010966248 -25
0.04670485706869389 -30
0.04413524926494229 -30
0.05167194939724389 -30
0.040086395741243994 -30
0.05185191798085664 -30
0.04523967879158502 -30
0.05388189056151686 -30
0.05388189056151686 -30
0.05535274992131024 -30
0.05020514795365373 -30
