shs_ratio snr
0.07313487688349872 -5
0.07864755604557148 -5
0.0804851157662624 -5
0.06982726938625505 -5
0.07497243660418963 -5
0.07607497243660419 -5
0.07239985299522235 -5
0.07056229327453142 -5
0.07680999632488056 -5
0.06541712605659684 -5
0.05475927967658949 -10
0.05843439911797133 -10
0.05034913634693128 -10
0.04704152884968762 -10
0.05034913634693128 -10
0.05843439911797133 -10
0.05622932745314223 -10
0.05586181550900404 -10
0.05475927967658949 -10
0.05292171995589857 -10
0.05292171995589857 -15
0.04961411245865491 -15
0.04704152884968762 -15
0.0521866960676222 -15
0.050716648291069456 -15
0.05475927967658949 -15
0.04998162440279309 -15
0.05549430356486586 -15
0.047409040793825796 -15
0.05659683939728041 -15
0.04851157662624035 -20
0.05034913634693128 -20
0.05328923190003675 -20
0.05659683939728041 -20
0.05145167217934583 -20
0.05365674384417494 -20
0.04630650496141125 -20
0.04998162440279309 -20
0.05034913634693128 -20
0.04593899301727306 -20
0.05108416023520764 -25
0.05255420801176038 -25
0.04630650496141125 -25
0.04998162440279309 -25
0.05181918412348401 -25
0.0543917677324513 -25
0.04961411245865491 -25
0.050716648291069456 -25
0.04814406468210217 -25
0.05108416023520764 -25
0.05145167217934583 -30
0.04226387357589122 -30
0.05365674384417494 -30
0.0426313855200294 -30
0.0591694230062477 -30
0.04189636163175303 -30
0.05145167217934583 -30
0.05145167217934583 -30
0.05328923190003675 -30
0.04630650496141125 -30
