shs_ratio snr
0.07607497243660419 -5
0.0712973171628078 -5
0.0712973171628078 -5
0.07350238882763689 -5
0.07166482910694598 -5
0.0804851157662624 -5
0.07938257993384785 -5
0.07276736493936053 -5
0.0687247335538405 -5
0.06468210216832047 -5
0.0543917677324513 -10
0.05622932745314223 -10
0.0543917677324513 -10
0.05586181550900404 -10
0.05586181550900404 -10
0.05990444689452407 -10
0.05733186328555678 -10
0.06027195883866226 -10
0.05328923190003675 -10
0.05292171995589857 -10
0.04961411245865491 -15
0.04887908857037854 -15
0.04667401690554943 -15
0.0521866960676222 -15
0.05328923190003675 -15
0.05181918412348401 -15
0.05549430356486586 -15
0.05145167217934583 -15
0.04851157662624035 -15
0.05402425578831312 -15
0.050716648291069456 -20
0.05145167217934583 -20
0.04851157662624035 -20
0.04924660051451672 -20
0.05108416023520764 -20
0.05292171995589857 -20
0.05255420801176038 -20
0.05145167217934583 -20
0.05145167217934583 -20
0.04924660051451672 -20
0.050716648291069456 -25
0.04814406468210217 -25
0.04851157662624035 -25
0.05292171995589857 -25
0.04851157662624035 -25
0.04998162440279309 -25
0.05034913634693128 -25
0.05034913634693128 -25
0.05145167217934583 -25
0.04961411245865491 -25
0.04887908857037854 -30
0.04851157662624035 -30
0.04704152884968762 -30
0.04998162440279309 -30
0.04998162440279309 -30
0.050716648291069456 -30
0.05034913634693128 -30
0.0521866960676222 -30
0.05145167217934583 -30
0.05292171995589857 -30
