fovar_ratio snr
0.08428413691571586 -5
0.08759661391240339 -5
0.07545086492454914 -5
0.08097165991902834 -5
0.08244387191755613 -5
0.09017298490982702 -5
0.07618697092381303 -5
0.07177033492822966 -5
0.0736105999263894 -5
0.08759661391240339 -5
0.05631210894368789 -10
0.05778432094221568 -10
0.05815237394184763 -10
0.06293706293706294 -10
0.059992638940007365 -10
0.0610967979389032 -10
0.057048214942951786 -10
0.05741626794258373 -10
0.05668016194331984 -10
0.06477732793522267 -10
0.0493191019506809 -15
0.05042326094957674 -15
0.052999631947000365 -15
0.05263157894736842 -15
0.04821494295178506 -15
0.047110783952889215 -15
0.04600662495399337 -15
0.044534412955465584 -15
0.05263157894736842 -15
0.05042326094957674 -15
0.05741626794258373 -20
0.05152741994847258 -20
0.043798306956201696 -20
0.05152741994847258 -20
0.04821494295178506 -20
0.05226352594773647 -20
0.04895104895104895 -20
0.05226352594773647 -20
0.05152741994847258 -20
0.0493191019506809 -20
0.054471843945528155 -25
0.051159366948840636 -25
0.05336768494663231 -25
0.054471843945528155 -25
0.0493191019506809 -25
0.05226352594773647 -25
0.0493191019506809 -25
0.05263157894736842 -25
0.05079131394920869 -25
0.052999631947000365 -25
0.05189547294810453 -30
0.04637467795362532 -30
0.051159366948840636 -30
0.04821494295178506 -30
0.04600662495399337 -30
0.04600662495399337 -30
0.05189547294810453 -30
0.04527051895472948 -30
0.05152741994847258 -30
0.04747883695252116 -30
