shs_ratio snr
0.12862918044836458 -5
0.12274898934215361 -5
0.1278941565600882 -5
0.1345093715545755 -5
0.12421903711870635 -5
0.12605659683939727 -5
0.13193678794560823 -5
0.1209114296214627 -5
0.1278941565600882 -5
0.13156927600147006 -5
0.11429621462697538 -10
0.10694597574421169 -10
0.11209114296214627 -10
0.10474090407938258 -10
0.09849320102903344 -10
0.10951855935317897 -10
0.11245865490628446 -10
0.10474090407938258 -10
0.10584343991179714 -10
0.11466372657111357 -10
0.09665564130834252 -15
0.10253583241455347 -15
0.10363836824696802 -15
0.10253583241455347 -15
0.10363836824696802 -15
0.09849320102903344 -15
0.099595736861448 -15
0.10363836824696802 -15
0.10510841602352076 -15
0.10400588019110621 -15
0.10216832047041528 -20
0.099595736861448 -20
0.10143329658213891 -20
0.10253583241455347 -20
0.10327085630282984 -20
0.09775817714075707 -20
0.10510841602352076 -20
0.1018008085262771 -20
0.10069827269386256 -20
0.10363836824696802 -20
0.09922822491730982 -25
0.10033076074972437 -25
0.09886071297317163 -25
0.09996324880558619 -25
0.10069827269386256 -25
0.09775817714075707 -25
0.10400588019110621 -25
0.10216832047041528 -25
0.10033076074972437 -25
0.09996324880558619 -25
0.1018008085262771 -30
0.1018008085262771 -30
0.09739066519661889 -30
0.09922822491730982 -30
0.09849320102903344 -30
0.10033076074972437 -30
0.099595736861448 -30
0.1018008085262771 -30
0.10106578463800074 -30
0.1018008085262771 -30
