shs_ratio snr
0.10988607129731716 -5
0.10069827269386256 -5
0.10363836824696802 -5
0.09298052186696068 -5
0.09628812936420433 -5
0.09922822491730982 -5
0.09445056964351341 -5
0.0926130099228225 -5
0.10327085630282984 -5
0.0970231532524807 -5
0.07975009187798604 -10
0.0712973171628078 -10
0.06284454244762955 -10
0.07680999632488056 -10
0.06909224549797868 -10
0.07203234105108416 -10
0.06504961411245866 -10
0.06504961411245866 -10
0.07092980521866961 -10
0.07313487688349872 -10
0.05990444689452407 -15
0.05402425578831312 -15
0.05108416023520764 -15
0.0591694230062477 -15
0.06137449467107681 -15
0.06027195883866226 -15
0.05659683939728041 -15
0.05769937522969496 -15
0.05292171995589857 -15
0.04704152884968762 -15
0.050716648291069456 -20
0.05108416023520764 -20
0.05292171995589857 -20
0.06027195883866226 -20
0.05475927967658949 -20
0.04887908857037854 -20
0.04814406468210217 -20
0.05034913634693128 -20
0.05108416023520764 -20
0.05034913634693128 -20
0.05145167217934583 -25
0.05181918412348401 -25
0.04961411245865491 -25
0.04851157662624035 -25
0.05292171995589857 -25
0.04924660051451672 -25
0.04924660051451672 -25
0.05034913634693128 -25
0.0521866960676222 -25
0.04851157662624035 -25
0.04961411245865491 -30
0.04924660051451672 -30
0.04777655273796398 -30
0.04924660051451672 -30
0.050716648291069456 -30
0.050716648291069456 -30
0.04961411245865491 -30
0.04998162440279309 -30
0.05145167217934583 -30
0.050716648291069456 -30
