fovar_ratio snr
0.08870077291129923 -5
0.07839528892160472 -5
0.07876334192123666 -5
0.09054103790945896 -5
0.07913139492086861 -5
0.08870077291129923 -5
0.0736105999263894 -5
0.08502024291497975 -5
0.08023555391976445 -5
0.0861244019138756 -5
0.05888847994111152 -10
0.05741626794258373 -10
0.06882591093117409 -10
0.055576002944424 -10
0.05815237394184763 -10
0.06624953993375046 -10
0.06220095693779904 -10
0.05668016194331984 -10
0.058520426941479575 -10
0.05226352594773647 -10
0.05226352594773647 -15
0.0548398969451601 -15
0.05336768494663231 -15
0.05410379094589621 -15
0.05152741994847258 -15
0.03938167096061833 -15
0.0673536989326463 -15
0.03496503496503497 -15
0.04674273095325727 -15
0.04784688995215311 -15
0.04895104895104895 -20
0.055944055944055944 -20
0.051159366948840636 -20
0.04637467795362532 -20
0.04747883695252116 -20
0.04747883695252116 -20
0.05373573794626426 -20
0.04416635995583364 -20
0.049687154950312847 -20
0.06624953993375046 -20
0.059992638940007365 -25
0.0610967979389032 -25
0.0360691939639308 -25
0.055944055944055944 -25
0.04048582995951417 -25
0.05336768494663231 -25
0.04232609495767391 -25
0.039749723960250276 -25
0.0493191019506809 -25
0.04195804195804196 -25
0.04195804195804196 -30
0.04600662495399337 -30
0.049687154950312847 -30
0.03754140596245859 -30
0.044534412955465584 -30
0.048582995951417005 -30
0.05631210894368789 -30
0.05631210894368789 -30
0.05741626794258373 -30
0.05410379094589621 -30
