total_ratio snr
0.12909191815940496 -5
0.12449558410795572 -5
0.12706816771692303 -5
0.14160139170294106 -5
0.12964724399181546 -5
0.13148615635124078 -5
0.13792275540084975 -5
0.13222604973896102 -5
0.1355333867084578 -5
0.1346105489319091 -5
0.11695671975367908 -10
0.10555248732002634 -10
0.11106949492604921 -10
0.10684229598521944 -10
0.10261428546114904 -10
0.11272762711862114 -10
0.11327754239609401 -10
0.10739437548466738 -10
0.1158587828929615 -10
0.11806060822482803 -10
0.09985524060264384 -15
0.10721197215133269 -15
0.10297855107232465 -15
0.10371546865482918 -15
0.10150633907379686 -15
0.10445455045930876 -15
0.10242944737809243 -15
0.10113828607416492 -15
0.10297746896133712 -15
0.1020581480454979 -15
0.09874702368754479 -20
0.10022112938030074 -20
0.10095588274083023 -20
0.10169117715685347 -20
0.09985037110319997 -20
0.09930234951995529 -20
0.10941839645489619 -20
0.1075805662064584 -20
0.09930018529798024 -20
0.10297855107232465 -20
0.1009575059073115 -25
0.09985253532517503 -25
0.10003764393597853 -25
0.10463749484813722 -25
0.09893213229834828 -25
0.09930234951995529 -25
0.1062907575412653 -25
0.10408379218220801 -25
0.1007726678242549 -25
0.10003683235273789 -25
0.1026118507114271 -30
0.09948340021455555 -30
0.09985469954715008 -30
0.09819710841007191 -30
0.10335039146041293 -30
0.10022058832480699 -30
0.09598851988453336 -30
0.103347956710691 -30
0.10261239176692087 -30
0.1013236652127153 -30
