fovar_ratio snr
0.12035333087964667 -5
0.1291866028708134 -5
0.12881854987118144 -5
0.10894368789105631 -5
0.12366580787633419 -5
0.11078395288921605 -5
0.11225616488774383 -5
0.10599926389400073 -5
0.1258741258741259 -5
0.1159366948840633 -5
0.0673536989326463 -10
0.08244387191755613 -10
0.0728744939271255 -10
0.07581891792418108 -10
0.07250644092749356 -10
0.07103422892896577 -10
0.07471475892528524 -10
0.07581891792418108 -10
0.06477732793522267 -10
0.07066617592933383 -10
0.050055207949944794 -15
0.05520794994479205 -15
0.060360691939639305 -15
0.05079131394920869 -15
0.05962458594037542 -15
0.05815237394184763 -15
0.04784688995215311 -15
0.059992638940007365 -15
0.055576002944424 -15
0.06514538093485461 -15
0.05668016194331984 -20
0.047110783952889215 -20
0.05189547294810453 -20
0.05668016194331984 -20
0.05189547294810453 -20
0.05336768494663231 -20
0.05152741994847258 -20
0.04784688995215311 -20
0.05925653294074347 -20
0.050055207949944794 -20
0.047110783952889215 -25
0.052999631947000365 -25
0.05152741994847258 -25
0.06072874493927125 -25
0.04895104895104895 -25
0.05042326094957674 -25
0.049687154950312847 -25
0.05226352594773647 -25
0.048582995951417005 -25
0.04527051895472948 -25
0.0548398969451601 -30
0.054471843945528155 -30
0.049687154950312847 -30
0.048582995951417005 -30
0.04674273095325727 -30
0.04600662495399337 -30
0.05079131394920869 -30
0.0430622009569378 -30
0.047110783952889215 -30
0.04674273095325727 -30
